ALGEBRA,8,1120,1
CALCULO Y GEOMETRIA ANALITICA,12,1121,1
QUIMICA,10,1123,1
FUNDAMENTOS DE FISICA,6,1130,1
FUNDAMENTOS DE PROGRAMACION,10,1122,1
ALGEBRA LINEAL,8,1220,2
CALCULO INTEGRAL,8,1221,2
MECANICA,12,1228,2
REDACCION Y EXPOSICION DE TEMAS DE INGENIERIA,6,1124,2
ESTRUCTURA DE DATOS Y ALGORITMOS 1,10,1227,2
PROBABILIDAD,8,1436,3
CALCULO VECTORIAL,8,1321,3
ECUACIONES DIFERENCIALES,8,1325,3
CULTURA Y COMUNICACION,2,1222,3
ESTRUCTURA DE DATOS Y ALGORITMOS 2,10,1317,3
PROGRAMACION ORIENTADA A OBJETOS,10,1323,4
FUNDAMENTOS DE ESTADISTICA,8,1445,4
ELECTRICIDAD Y MAGNETISMO,10,1414,4
ANALISIS NUMERICO,8,1433,4
MATEMATICAS AVANZADAS,8,1424,4
ESTRUCTURAS DISCRETAS,8,119,5
ESTRUCTURAS Y PROGRAMACION DE COMPUTADORAS,8,1503,5
DISPOSITIVOS ELECTRONICOS,10,138,5
LENGUAJES FORMALES Y AUTOMATAS,8,442,5
SEÑALES Y SISTEMAS,8,1473,5
INGENIERIA DE SOFTWARE,8,1531,6
SISTEMAS OPERATIVOS,8,840,6
DISEÑO DIGITAL MODERNO,10,1645,6
BASE DE DATOS,14,1644,6
CIRCUITOS ELECTRICOS,8,1562,6
ADMINISTRACION DE PROYECTOS DE SOFTWARE,8,1643,7
FINANZAS EN LA INGENIERIA EN COMPUTACION,6,1537,7
DISEÑO DIGITAL VLSI,8,1535,7
INTELIGENCIA ARTIFICIAL,8,406,7
COMPILADORES,8,434,7
SISTEMAS DE COMUNICACIONES,8,1686,8
INTRODUCCION A LA ECONOMIA,8,1413,8
OPTATIVA DE CIENCIAS SOCIALES Y HUMANIDADES,6,1055,8
MICROCOMPUTADORAS,8,1672,8
COMPUTACION GRAFICA E ITERACION HUMANO COMPUTADORA,10,1590,8
ETICA PROFESIONAL,6,1052,9
REDES DE DATOS SEGURAS,14,1598,9
ORGANIZACION Y ARQUITECTURA DE COMPUTADORAS,8,1867,9
FUNDAMENTOS DE SISTEMAS EMBEBIDOS,8,1858,9
SISTEMAS DISTRIBUIDOS,8,1959,9
OPTATIVA DE CAMPO DE PROFUNDIZACION,8,2954,10
RECURSOS Y NECESIDADES DE MÉXICO,8,2080,10
ADMINISTRACION DE REDES,8,1866,10
ANALISIS Y PROCESAMIENTO INTELIGENTE DE TEXTOS,8,2932,10
MINERIA DE DATOS,8,2933,10
